date,hour,label,count,weather_type,temperature,humidity,wind_speed
01/01/2012,00,3,15,1,6.7,0.76,0.0
01/01/2012,01,3,39,1,6.1,0.82,0.0
01/01/2012,02,3,27,1,5.0,0.82,5.6
01/01/2012,03,3,29,2,5.0,0.82,7.4
01/01/2012,04,3,3,2,4.4,0.89,9.3
01/01/2012,05,3,1,2,4.4,0.89,11.1
01/01/2012,07,3,2,2,3.9,0.93,7.4
01/01/2012,08,3,4,1,5.6,0.85,7.4
01/01/2012,09,3,7,1,7.8,0.76,9.3
01/01/2012,10,3,16,1,10.6,0.63,18.5
01/01/2012,11,3,43,0,11.7,0.59,18.5
01/01/2012,12,3,52,0,12.8,0.55,20.4
01/01/2012,13,3,45,0,13.9,0.53,20.4
01/01/2012,14,3,57,4,12.8,0.57,20.4
01/01/2012,15,3,49,0,15.0,0.48,13.0
01/01/2012,16,3,51,4,15.0,0.48,11.1
01/01/2012,17,3,22,9,14.0,0.59,16.7
01/01/2012,18,3,31,4,13.3,0.62,20.4
01/01/2012,19,3,40,4,13.3,0.67,16.7
01/01/2012,20,3,34,4,13.9,0.67,13.0
01/01/2012,21,3,27,0,14.0,0.55,27.8
01/01/2012,22,3,19,1,11.1,0.4,31.5
01/01/2012,23,3,8,1,9.4,0.43,27.8
01/01/2013,00,3,13,4,3.3,0.68,11.1
01/01/2013,01,3,35,0,4.4,0.58,11.1
01/01/2013,02,3,58,4,4.4,0.58,5.6
01/01/2013,03,3,35,4,3.9,0.62,11.1
01/01/2013,04,3,8,4,4.4,0.55,0.0
01/01/2013,05,3,4,4,4.4,0.6,0.0
01/01/2013,06,3,8,4,3.9,0.67,0.0
01/01/2013,07,3,3,4,3.9,0.73,7.4
01/01/2013,08,3,6,4,4.0,0.65,7.4
01/01/2013,09,3,9,4,7.0,0.46,0.0
01/01/2013,10,3,24,4,6.7,0.49,7.4
01/01/2013,11,3,32,4,6.7,0.51,11.1
01/01/2013,12,3,35,4,7.2,0.52,11.1
01/01/2013,13,3,43,4,7.2,0.52,11.1
01/01/2013,14,3,38,4,7.2,0.52,13.0
01/01/2013,15,3,50,4,7.2,0.52,9.3
01/01/2013,16,3,40,4,6.7,0.53,7.4
01/01/2013,17,3,26,4,7.2,0.52,13.0
01/01/2013,18,3,37,4,6.1,0.56,20.4
01/01/2013,19,3,38,4,5.6,0.58,18.5
01/01/2013,20,3,27,4,5.6,0.58,22.2
