date,hour,label,count,weather_type,temperature,humidity,wind_speed
01/01/2012,00,1,2,1,6.7,0.76,0.0
01/01/2012,01,1,14,1,6.1,0.82,0.0
01/01/2012,02,1,17,1,5.0,0.82,5.6
01/01/2012,03,1,10,2,5.0,0.82,7.4
01/01/2012,04,1,1,2,4.4,0.89,9.3
01/01/2012,08,1,4,1,5.6,0.85,7.4
01/01/2012,09,1,9,1,7.8,0.76,9.3
01/01/2012,10,1,21,1,10.6,0.63,18.5
01/01/2012,11,1,35,0,11.7,0.59,18.5
01/01/2012,12,1,37,0,12.8,0.55,20.4
01/01/2012,13,1,36,0,13.9,0.53,20.4
01/01/2012,14,1,57,4,12.8,0.57,20.4
01/01/2012,15,1,63,0,15.0,0.48,13.0
01/01/2012,16,1,36,4,15.0,0.48,11.1
01/01/2012,17,1,15,9,14.0,0.59,16.7
01/01/2012,18,1,20,4,13.3,0.62,20.4
01/01/2012,19,1,21,4,13.3,0.67,16.7
01/01/2012,20,1,14,4,13.9,0.67,13.0
01/01/2012,21,1,14,0,14.0,0.55,27.8
01/01/2012,22,1,11,1,11.1,0.4,31.5
01/01/2012,23,1,2,1,9.4,0.43,27.8
01/01/2013,00,1,7,4,3.3,0.68,11.1
01/01/2013,01,1,21,0,4.4,0.58,11.1
01/01/2013,02,1,15,4,4.4,0.58,5.6
01/01/2013,03,1,12,4,3.9,0.62,11.1
01/01/2013,04,1,5,4,4.4,0.55,0.0
01/01/2013,06,1,3,4,3.9,0.67,0.0
01/01/2013,08,1,2,4,4.0,0.65,7.4
01/01/2013,09,1,5,4,7.0,0.46,0.0
01/01/2013,10,1,12,4,6.7,0.49,7.4
01/01/2013,11,1,30,4,6.7,0.51,11.1
01/01/2013,12,1,47,4,7.2,0.52,11.1
01/01/2013,13,1,33,4,7.2,0.52,11.1
01/01/2013,14,1,36,4,7.2,0.52,13.0
01/01/2013,15,1,24,4,7.2,0.52,9.3
01/01/2013,16,1,40,4,6.7,0.53,7.4
01/01/2013,17,1,25,4,7.2,0.52,13.0
01/01/2013,18,1,26,4,6.1,0.56,20.4
01/01/2013,19,1,26,4,5.6,0.58,18.5
01/01/2013,20,1,11,4,5.6,0.58,22.2
01/01/2013,21,1,11,4,5.6,0.58,18.5
01/01/2013,22,1,6,4,5.0,0.6,18.5
01/01/2013,23,1,13,4,4.4,0.63,7.4
01/01/2014,00,1,19,2,1.1,0.46,0.0
01/01/2014,01,1,19,1,-1.1,0.61,13.0
01/01/2014,02,1,34,1,-0.6,0.57,5.6
01/01/2014,03,1,15,0,0.6,0.5,0.0
01/01/2014,04,1,1,4,-0.6,0.64,0.0
01/01/2014,05,1,2,4,0.0,0.64,5.6
01/01/2014,06,1,6,4,0.6,0.61,0.0
01/01/2014,07,1,6,4,0.6,0.59,0.0
01/01/2014,08,1,7,4,1.1,0.56,7.4
01/01/2014,09,1,21,4,2.8,0.52,13.0
01/01/2014,10,1,23,1,4.4,0.53,16.7
01/01/2014,11,1,44,0,5.0,0.55,13.0
01/01/2014,12,1,55,0,6.7,0.49,14.8
01/01/2014,13,1,73,0,7.2,0.49,11.1
01/01/2014,14,1,87,0,8.9,0.44,13.0
01/01/2014,15,1,77,0,8.9,0.48,14.8
01/01/2014,16,1,57,1,6.7,0.55,13.0
01/01/2014,17,1,46,1,6.1,0.56,7.4
01/01/2014,18,1,52,1,6.1,0.58,5.6
01/01/2014,19,1,25,0,6.1,0.65,11.1
01/01/2014,20,1,30,0,5.6,0.67,5.6
01/01/2014,21,1,20,0,4.4,0.73,9.3
01/01/2014,22,1,16,0,4.4,0.73,0.0
01/01/2014,23,1,6,4,3.9,0.76,5.6
01/01/2015,00,1,11,1,-2.0,0.64,7.4
01/01/2015,01,1,35,2,-2.8,0.61,11.1
01/01/2015,02,1,22,2,-1.7,0.51,7.4
01/01/2015,03,1,7,2,-1.7,0.51,7.4
01/01/2015,04,1,2,2,-1.7,0.49,5.6
01/01/2015,06,1,1,1,-1.7,0.49,7.4
01/01/2015,07,1,2,1,-1.7,0.54,7.4
01/01/2015,08,1,10,1,0.6,0.52,14.8
01/01/2015,09,1,12,1,2.2,0.44,13.0
01/01/2015,10,1,31,1,4.4,0.38,13.0
01/01/2015,11,1,59,0,6.1,0.34,20.4
01/01/2015,12,1,60,0,7.2,0.29,22.2
01/01/2015,13,1,58,0,7.8,0.28,24.1
01/01/2015,14,1,46,0,7.2,0.3,20.4
01/01/2015,15,1,62,0,7.2,0.3,18.5
01/01/2015,16,1,89,0,6.1,0.34,16.7
01/01/2015,17,1,57,1,5.6,0.38,16.7
01/01/2015,18,1,35,1,5.0,0.43,16.7
01/01/2015,19,1,32,1,4.4,0.45,16.7
01/01/2015,20,1,35,1,3.3,0.51,14.8
01/01/2015,21,1,23,0,4.4,0.49,14.8
01/01/2015,22,1,18,1,4.4,0.49,9.3
01/01/2015,23,1,9,1,5.0,0.49,7.4
01/02/2012,00,1,8,1,8.9,0.36,29.6
01/02/2012,01,1,1,0,8.3,0.36,24.1
01/02/2012,04,1,1,1,4.4,0.41,25.9
01/02/2012,05,1,1,1,3.3,0.33,25.9
01/02/2012,06,1,3,1,3.3,0.35,16.7
01/02/2012,07,1,2,1,2.8,0.37,7.4
01/02/2012,08,1,13,1,3.9,0.36,18.5
01/02/2012,09,1,11,1,4.4,0.35,33.3
01/02/2012,10,1,21,0,5.0,0.35,16.7
01/02/2012,11,1,36,0,5.6,0.38,20.4
01/02/2012,12,1,47,0,5.6,0.37,27.8
01/02/2012,13,1,39,0,5.0,0.39,29.6
01/02/2012,14,1,36,0,4.4,0.35,27.8
01/02/2012,15,1,32,0,4.4,0.35,25.9
01/02/2012,16,1,32,1,3.9,0.34,16.7
01/02/2012,17,1,31,1,3.3,0.38,14.8
01/02/2012,18,1,27,0,2.8,0.41,14.8
01/02/2012,19,1,13,4,2.8,0.41,22.2
01/02/2012,20,1,17,4,2.2,0.43,18.5
01/02/2012,21,1,9,0,1.7,0.46,16.7
01/02/2012,22,1,5,0,1.1,0.5,16.7
01/02/2012,23,1,9,1,0.0,0.54,14.8
01/02/2013,00,1,2,4,4.4,0.6,16.7
01/02/2013,01,1,1,4,3.9,0.6,16.7
01/02/2013,03,1,1,4,3.3,0.57,9.3
01/02/2013,04,1,1,4,2.8,0.57,9.3
01/02/2013,05,1,7,4,2.2,0.57,13.0
01/02/2013,06,1,32,4,1.7,0.57,14.8
01/02/2013,07,1,66,4,1.1,0.56,22.2
01/02/2013,08,1,114,4,1.7,0.52,18.5
01/02/2013,09,1,51,4,2.0,0.48,11.1
01/02/2013,10,1,38,0,2.8,0.48,22.2
01/02/2013,11,1,28,0,2.2,0.46,16.7
01/02/2013,12,1,35,4,2.8,0.42,16.7
01/02/2013,13,1,42,4,3.9,0.41,22.2
01/02/2013,14,1,29,4,3.3,0.41,24.1
01/02/2013,15,1,44,0,2.2,0.43,18.5
01/02/2013,16,1,81,4,1.7,0.44,16.7
01/02/2013,17,1,110,4,1.7,0.42,11.1
01/02/2013,18,1,73,0,0.6,0.46,11.1
01/02/2013,19,1,57,0,1.1,0.38,13.0
01/02/2013,20,1,29,0,0.0,0.44,11.1
01/02/2013,21,1,23,0,0.6,0.4,7.4
01/02/2013,22,1,11,0,0.0,0.42,7.4
01/02/2013,23,1,3,0,-0.6,0.46,11.1
01/02/2014,00,1,4,4,3.9,0.73,0.0
01/02/2014,01,1,1,4,3.9,0.7,0.0
01/02/2014,04,1,1,4,1.7,0.82,7.4
01/02/2014,05,1,10,4,1.7,0.82,7.4
01/02/2014,06,1,48,4,1.1,0.85,11.1
01/02/2014,07,1,81,4,1.1,0.85,9.3
01/02/2014,08,1,170,4,2.0,0.81,13.0
01/02/2014,09,1,102,4,2.0,0.87,11.1
01/02/2014,10,1,33,4,2.0,0.87,9.3
01/02/2014,11,1,42,5,3.0,0.81,14.8
01/02/2014,12,1,49,5,3.0,0.81,11.1
01/02/2014,13,1,52,4,3.9,0.76,18.5
01/02/2014,14,1,43,4,4.0,0.75,11.1
01/02/2014,15,1,47,9,3.3,0.79,16.7
01/02/2014,16,1,46,9,3.0,0.81,14.8
01/02/2014,17,1,70,3,3.0,0.87,13.0
01/02/2014,18,1,43,3,2.0,0.87,14.8
01/02/2014,19,1,16,3,1.0,0.87,7.4
01/02/2014,20,1,13,3,1.0,0.87,11.1
01/02/2014,21,1,10,3,1.0,0.87,18.5
01/02/2014,22,1,3,3,1.0,0.81,18.5
01/02/2014,23,1,1,3,1.0,0.81,18.5
01/02/2015,00,1,5,1,4.4,0.51,14.8
01/02/2015,01,1,1,0,3.9,0.62,0.0
01/02/2015,02,1,4,0,3.3,0.55,5.6
01/02/2015,03,1,1,4,3.3,0.62,0.0
01/02/2015,04,1,3,0,3.3,0.65,5.6
01/02/2015,05,1,9,4,3.9,0.62,0.0
01/02/2015,06,1,23,0,2.8,0.67,0.0
01/02/2015,07,1,50,4,2.8,0.65,7.4
01/02/2015,08,1,107,4,4.4,0.49,0.0
01/02/2015,09,1,81,4,6.1,0.43,0.0
01/02/2015,10,1,44,4,6.1,0.43,14.8
01/02/2015,11,1,71,4,7.2,0.4,5.6
01/02/2015,12,1,93,4,8.3,0.37,0.0
01/02/2015,13,1,83,4,8.9,0.34,7.4
01/02/2015,14,1,102,4,9.4,0.32,11.1
01/02/2015,15,1,114,4,8.9,0.36,5.6
01/02/2015,16,1,128,4,7.2,0.4,9.3
01/02/2015,17,1,133,4,6.7,0.42,5.6
01/02/2015,18,1,79,0,6.1,0.47,5.6
01/02/2015,19,1,67,0,4.4,0.6,5.6
01/02/2015,20,1,47,4,4.4,0.65,0.0
01/02/2015,21,1,44,4,3.9,0.67,0.0
01/02/2015,22,1,26,0,3.9,0.67,0.0
01/02/2015,23,1,25,1,1.7,0.7,7.4
01/03/2012,00,1,2,0,0.0,0.5,16.7
01/03/2012,02,1,2,1,-1.1,0.54,16.7
01/03/2012,04,1,1,2,-1.7,0.56,18.5
01/03/2012,05,1,5,2,-1.7,0.56,16.7
01/03/2012,06,1,24,0,-1.1,0.54,18.5
01/03/2012,07,1,42,1,-1.1,0.51,18.5
01/03/2012,08,1,78,1,-1.1,0.47,31.5
01/03/2012,09,1,29,1,-0.6,0.38,33.3
01/03/2012,10,1,16,0,0.0,0.38,35.2
01/03/2012,11,1,7,0,0.0,0.35,44.4
01/03/2012,12,1,13,0,0.0,0.35,37.0
01/03/2012,13,1,13,3,0.0,0.38,27.8
01/03/2012,14,1,20,1,-1.7,0.4,38.9
01/03/2012,15,1,20,0,-1.7,0.25,31.5
01/03/2012,16,1,26,0,-2.2,0.26,35.2
01/03/2012,17,1,66,1,-2.8,0.29,27.8
01/03/2012,18,1,55,1,-3.3,0.34,16.7
01/03/2012,19,1,41,1,-3.9,0.37,14.8
01/03/2012,20,1,22,1,-3.9,0.46,16.7
01/03/2012,21,1,10,1,-4.4,0.48,25.9
01/03/2012,22,1,4,1,-5.0,0.44,22.2
01/03/2012,23,1,2,1,-6.1,0.42,29.6
01/03/2013,00,1,1,4,-1.1,0.47,9.3
01/03/2013,03,1,1,4,-0.6,0.5,9.3
01/03/2013,04,1,1,4,-1.1,0.51,13.0
01/03/2013,05,1,8,4,-1.1,0.51,9.3
01/03/2013,06,1,34,0,-0.6,0.47,7.4
01/03/2013,07,1,63,4,-1.1,0.51,7.4
01/03/2013,08,1,113,4,-0.6,0.5,0.0
01/03/2013,09,1,72,4,0.0,0.48,5.6
01/03/2013,10,1,35,4,0.6,0.48,9.3
01/03/2013,11,1,27,0,1.7,0.46,11.1
01/03/2013,12,1,39,0,2.2,0.48,11.1
01/03/2013,13,1,29,0,2.8,0.48,16.7
01/03/2013,14,1,37,1,3.3,0.48,16.7
01/03/2013,15,1,27,1,2.8,0.5,16.7
01/03/2013,16,1,60,1,2.8,0.46,13.0
01/03/2013,17,1,122,1,1.7,0.52,9.3
01/03/2013,18,1,66,2,0.6,0.61,11.1
01/03/2013,19,1,47,2,1.1,0.56,7.4
01/03/2013,20,1,33,2,0.6,0.59,11.1
01/03/2013,21,1,13,2,-0.6,0.64,11.1
01/03/2013,22,1,16,2,0.0,0.64,9.3
01/03/2013,23,1,7,2,0.0,0.69,0.0
01/03/2014,00,1,1,4,1.0,0.81,24.1
01/03/2014,01,1,2,3,-1.0,0.8,24.1
01/03/2014,02,1,1,3,-2.2,0.78,24.1
01/03/2014,04,1,1,3,-5.6,0.68,42.6
01/03/2014,05,1,5,4,-6.7,0.62,40.7
01/03/2014,06,1,7,1,-7.0,0.58,37.0
01/03/2014,07,1,14,1,-7.8,0.6,29.6
01/03/2014,08,1,34,1,-7.2,0.54,29.6
01/03/2014,09,1,27,1,-7.2,0.5,40.7
01/03/2014,10,1,13,1,-6.7,0.52,37.0
01/03/2014,11,1,10,1,-5.6,0.46,38.9
01/03/2014,12,1,17,1,-5.0,0.42,29.6
01/03/2014,13,1,28,2,-5.0,0.4,31.5
01/03/2014,14,1,16,2,-4.4,0.37,24.1
01/03/2014,15,1,35,2,-5.0,0.4,20.4
01/03/2014,16,1,25,2,-5.0,0.39,11.1
01/03/2014,17,1,51,2,-5.0,0.37,14.8
01/03/2014,18,1,42,2,-6.1,0.46,16.7
01/03/2014,19,1,18,1,-6.1,0.42,16.7
01/03/2014,20,1,13,2,-6.1,0.42,13.0
01/03/2014,21,1,9,2,-6.7,0.44,13.0
01/03/2014,22,1,10,2,-6.7,0.44,9.3
01/03/2014,23,1,6,2,-6.7,0.48,9.3
01/03/2015,00,1,9,1,2.0,0.7,5.6
01/03/2015,01,1,11,0,2.2,0.73,0.0
01/03/2015,02,1,1,4,2.2,0.7,0.0
01/03/2015,03,1,1,4,2.0,0.75,5.6
01/03/2015,04,1,2,4,3.3,0.6,9.3
01/03/2015,05,1,1,4,3.3,0.65,9.3
01/03/2015,06,1,8,9,4.0,0.65,9.3
01/03/2015,07,1,10,9,4.0,0.65,0.0
01/03/2015,08,1,12,9,4.0,0.75,0.0
01/03/2015,09,1,22,4,4.4,0.77,9.3
01/03/2015,10,1,48,4,5.0,0.76,0.0
01/03/2015,11,1,43,9,4.4,0.79,7.4
01/03/2015,12,1,26,9,4.0,0.81,5.6
01/03/2015,13,1,40,4,5.0,0.81,0.0
01/03/2015,14,1,46,9,5.0,0.81,0.0
01/03/2015,15,1,38,9,5.0,0.81,5.6
01/03/2015,16,1,36,9,5.0,0.87,5.6
01/03/2015,17,1,36,9,5.0,0.87,9.3
01/03/2015,18,1,31,9,4.0,0.87,9.3
01/03/2015,19,1,29,4,4.0,0.93,0.0
01/03/2015,20,1,12,9,5.0,0.87,0.0
01/03/2015,21,1,6,9,5.0,0.87,5.6
01/03/2015,22,1,8,9,5.0,0.87,9.3
01/03/2015,23,1,19,9,6.0,0.81,5.6
